experiment_type,run_number,generations,best_score,generation_found,run_time_ms
baseline,0,1000,Score(9999940249),104,46857
baseline,1,1000,Score(9999940461),86,44465
baseline,2,1000,Score(9999940087),83,43788
baseline,3,1000,Score(9999940281),73,43628
baseline,4,1000,Score(9999940009),69,44040
baseline,5,1000,Score(9999940599),74,44205
baseline,6,1000,Score(9999940318),99,43761
baseline,7,1000,Score(9999939969),49,44043
baseline,8,1000,Score(9999940165),72,43256
baseline,9,1000,Score(9999940315),137,43738
incremental,0,100,Score(9999940261),70,4972
incremental,1,100,Score(9999940051),41,4925
incremental,2,100,Score(9999940609),100,4918
incremental,3,100,Score(9999940044),64,4944
incremental,4,100,Score(9999940209),59,4957
incremental,5,100,Score(9999940280),81,4958
incremental,6,100,Score(9999940022),73,4939
incremental,7,100,Score(9999940370),97,4920
incremental,8,100,Score(9999940259),85,5027
incremental,9,100,Score(9999940105),86,4999
incremental,0,200,Score(9999940173),97,9308
incremental,1,200,Score(9999940381),60,9187
incremental,2,200,Score(9999940056),78,9260
incremental,3,200,Score(9999940596),159,9216
incremental,4,200,Score(9999940491),122,9241
incremental,5,200,Score(9999940022),81,9145
incremental,6,200,Score(9999940088),80,9211
incremental,7,200,Score(9999940187),121,9278
incremental,8,200,Score(9999940480),112,9217
incremental,9,200,Score(9999940188),73,9220
incremental,0,300,Score(9999939970),71,13480
incremental,1,300,Score(9999940367),92,13472
incremental,2,300,Score(9999940149),67,13440
incremental,3,300,Score(9999940493),82,13360
incremental,4,300,Score(9999940148),87,13380
incremental,5,300,Score(9999940228),88,13466
incremental,6,300,Score(9999940418),68,13428
incremental,7,300,Score(9999940783),93,13362
incremental,8,300,Score(9999940373),94,13402
incremental,9,300,Score(9999940073),70,13526
incremental,0,400,Score(9999940052),100,17746
incremental,1,400,Score(9999939677),82,17991
incremental,2,400,Score(9999940344),73,18920
incremental,3,400,Score(9999940341),87,18791
incremental,4,400,Score(9999940326),108,18134
incremental,5,400,Score(9999940265),106,18507
incremental,6,400,Score(9999940212),97,18670
incremental,7,400,Score(9999940178),82,18762
incremental,8,400,Score(9999939941),78,18300
incremental,9,400,Score(9999940188),65,18630
incremental,0,500,Score(9999940275),76,23649
incremental,1,500,Score(9999940268),52,23655
incremental,2,500,Score(9999940161),89,22927
incremental,3,500,Score(9999940115),86,22784
incremental,4,500,Score(9999939626),72,23026
incremental,5,500,Score(9999940069),51,22349
incremental,6,500,Score(9999940229),62,22257
incremental,7,500,Score(9999940195),98,22465
incremental,8,500,Score(9999940042),100,22545
incremental,9,500,Score(9999940026),85,22706
incremental,0,600,Score(9999940223),101,28736
incremental,1,600,Score(9999940124),71,26623
incremental,2,600,Score(9999940062),55,26118
incremental,3,600,Score(9999939961),79,26785
incremental,4,600,Score(9999940110),88,26321
incremental,5,600,Score(9999940189),101,26107
incremental,6,600,Score(9999940263),72,26367
incremental,7,600,Score(9999940403),89,26789
incremental,8,600,Score(9999940119),68,26388
incremental,9,600,Score(9999940235),64,26309
incremental,0,700,Score(9999940232),101,30781
incremental,1,700,Score(9999940128),95,31020
incremental,2,700,Score(9999940387),110,30612
incremental,3,700,Score(9999940535),103,30554
incremental,4,700,Score(9999940345),93,30476
incremental,5,700,Score(9999940045),68,30552
incremental,6,700,Score(9999940168),111,31229
incremental,7,700,Score(9999940016),66,32408
incremental,8,700,Score(9999940150),81,31833
incremental,9,700,Score(9999940177),82,31279
incremental,0,800,Score(9999940137),112,36545
incremental,1,800,Score(9999940145),135,36858
incremental,2,800,Score(9999940131),63,35279
incremental,3,800,Score(9999940377),82,34710
incremental,4,800,Score(9999940135),87,34952
incremental,5,800,Score(9999939932),67,35062
incremental,6,800,Score(9999939958),103,34660
incremental,7,800,Score(9999940239),74,34767
incremental,8,800,Score(9999940278),111,34824
incremental,9,800,Score(9999939903),62,34698
incremental,0,900,Score(9999940529),95,38959
incremental,1,900,Score(9999940198),89,38977
incremental,2,900,Score(9999940449),97,39390
incremental,3,900,Score(9999940004),93,39178
incremental,4,900,Score(9999940295),111,39215
incremental,5,900,Score(9999940219),82,39344
incremental,6,900,Score(9999940160),56,39346
incremental,7,900,Score(9999940130),68,39649
incremental,8,900,Score(9999940250),48,39194
incremental,9,900,Score(9999940226),80,39107
